run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,response,question_order,stimulus,slider_start,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
11,1,"[{""page_index"":0,""viewing_time"":2918},{""page_index"":1,""viewing_time"":728},{""page_index"":2,""viewing_time"":1351}]",4997,instructions,0,5008,0.0-0.0,"""","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"[{""page_index"":0,""viewing_time"":1153}]",1153,instructions,1,6165,0.0-1.0,"""","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",7975977,survey-likert,2,7982528,0.0-2.0,"{""ap_ref_tonal"":7,""ap_produce_440"":7,""rp_perceive_same"":7,""ap_id_440"":7,""rp_lose"":7,""rp_id_440"":7,""rp_produce_tonality"":7,""rp_produce_abref"":7,""rp_name_relation"":7,""ap_to_rp"":7,""ap_id_interval"":7,""rp_produce_440"":7,""rp_id_interval"":7,""ap_perceive_same"":7,""rp_name_abref"":7,""ap_lose"":7,""ap_produce_interval"":7,""ap_remember_group"":7,""ap_produce_abref"":7,""ap_name_relation"":7,""ap_name_abref"":7,""rp_ref_tonal"":7,""rp_to_ap"":7,""rp_produce_interval"":7,""rp_remember_group"":7,""ap_produce_tonality"":7}","[14,23,6,22,12,7,1,10,5,21,2,17,8,3,20,15,9,27,18,26,25,19,24,0,13,4,11,16]","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",14325,survey-text,3,7996866,0.0-3.0,"{""Q0"":""lkj""}","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",4480,survey-text,4,8001352,0.0-4.0,"{""Q0"":""khj""}","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"[{""page_index"":0,""viewing_time"":1684}]",1685,instructions,5,8003042,0.0-5.0,"""","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",21452,survey-likert,6,8024501,0.0-6.0,"{""rp_impaired"":7,""rp_trained_ap"":7,""rp_normal"":7,""ap_better_others"":7,""re_people_al"":7,""ap_tonedeaf"":7,""ap_people_all"":7,""ap_trained_ap"":7,""ap_impaired"":7,""ap_override"":7,""rp_better_others"":7,""ap_normal"":7,""rp_override"":7,""rp_tonedeaf"":7}","[1,3,5,13,0,11,7,10,8,9,6,12,2,4]","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"[{""page_index"":0,""viewing_time"":1922}]",1922,instructions,7,8026424,0.0-7.0,"""","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"[{""page_index"":0,""viewing_time"":1237}]",1237,instructions,8,8027663,0.0-8.0,"""","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"[{""page_index"":0,""viewing_time"":9403}]",9403,instructions,9,8037069,0.0-9.0,"""","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",6207,survey-likert,10,8043281,0.0-10.0,"{""rp_ac_rate"":""}",[0],"""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",64176,html-slider-response,11,8107488,0.0-11.0,63,"""",<p></p>,50,"2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",4247,survey-likert,12,8111740,0.0-12.0,"{""rp_ac_rate"":7}",[0],"""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",15693,html-slider-response,13,8127437,0.0-13.0,31,"""",<p></p>,50,"2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",14337,survey-likert,14,8141780,0.0-14.0,"{""often"":5,""rp"":5}","[0,1,2,3]","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",5859,survey-text,15,8147643,0.0-15.0,"{""Q0"":""}","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",10610,survey-likert,16,8158257,0.0-16.0,"{""rp_ac_rate"":8}","[0,1,2,3,4]","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",1764,survey-text,17,8160029,0.0-17.0,"{""Q0"":""}","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",1286,survey-likert,18,8161317,0.0-18.0,"{""rp_ac_rate"":""}","[0,1,2,3,4]","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
11,1,"""",1379,survey-text,19,8162700,0.0-19.0,"{""Q0"":""}","""","""","""","2021-11-09 15:52:12",73.173.53.236,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:94.0) Gecko/20100101 Firefox/94.0",Macintosh,Firefox,94.0,"OS X",10.15,8f8fbc6ef03fcbbd2622e55cc1f13f7b
