run_id,P,Activity,int_q_number,Label,response,k,text,detector
1011,AP,Activity,1,use_skill_ap,1,1011 AP Activity 1,I play a melody at the piano without telling students what key it is in They are asked to notate it in the correct key,118
1011,AP,Activity,1,easy_teach_ap,2,1011 AP Activity 1,I play a melody at the piano without telling students what key it is in They are asked to notate it in the correct key,118
1011,AP,Activity,1,easy_learn_ap,1,1011 AP Activity 1,I play a melody at the piano without telling students what key it is in They are asked to notate it in the correct key,118
1011,AP,Activity,1,helps_foster_ap,7,1011 AP Activity 1,I play a melody at the piano without telling students what key it is in They are asked to notate it in the correct key,118
1011,AP,Activity,1,reps_absolute_ap,7,1011 AP Activity 1,I play a melody at the piano without telling students what key it is in They are asked to notate it in the correct key,118
1011,AP,Activity,2,use_skill_ap,1,1011 AP Activity 2,I play a harmonic progression on the piano without telling students what key it is in Students are asked to notate the outer voices in the correct key,150
1011,AP,Activity,2,easy_teach_ap,9,1011 AP Activity 2,I play a harmonic progression on the piano without telling students what key it is in Students are asked to notate the outer voices in the correct key,150
1011,AP,Activity,2,easy_learn_ap,9,1011 AP Activity 2,I play a harmonic progression on the piano without telling students what key it is in Students are asked to notate the outer voices in the correct key,150
1011,AP,Activity,2,helps_foster_ap,7,1011 AP Activity 2,I play a harmonic progression on the piano without telling students what key it is in Students are asked to notate the outer voices in the correct key,150
1011,AP,Activity,2,reps_absolute_ap,7,1011 AP Activity 2,I play a harmonic progression on the piano without telling students what key it is in Students are asked to notate the outer voices in the correct key,150
1011,AP,Activity,3,use_skill_ap,1,1011 AP Activity 3,Using specialized software I alter a recording of a wellknown piece transposing it up by some interval I play that transposed version for students asking them to identify the interval of transposition based solely on the difference between the notated key and the heard recording,279
1011,AP,Activity,3,easy_teach_ap,9,1011 AP Activity 3,Using specialized software I alter a recording of a wellknown piece transposing it up by some interval I play that transposed version for students asking them to identify the interval of transposition based solely on the difference between the notated key and the heard recording,279
1011,AP,Activity,3,easy_learn_ap,9,1011 AP Activity 3,Using specialized software I alter a recording of a wellknown piece transposing it up by some interval I play that transposed version for students asking them to identify the interval of transposition based solely on the difference between the notated key and the heard recording,279
1011,AP,Activity,3,helps_foster_ap,7,1011 AP Activity 3,Using specialized software I alter a recording of a wellknown piece transposing it up by some interval I play that transposed version for students asking them to identify the interval of transposition based solely on the difference between the notated key and the heard recording,279
1011,AP,Activity,3,reps_absolute_ap,7,1011 AP Activity 3,Using specialized software I alter a recording of a wellknown piece transposing it up by some interval I play that transposed version for students asking them to identify the interval of transposition based solely on the difference between the notated key and the heard recording,279
1061,AP,Activity,11,use_skill_ap,1,1061 AP Activity 11,No answer,9
1061,AP,Activity,11,easy_teach_ap,8,1061 AP Activity 11,No answer,9
1061,AP,Activity,11,easy_learn_ap,8,1061 AP Activity 11,No answer,9
1061,AP,Activity,11,helps_foster_ap,8,1061 AP Activity 11,No answer,9
1061,AP,Activity,11,reps_absolute_ap,8,1061 AP Activity 11,No answer,9
1061,AP,Activity,12,use_skill_ap,8,1061 AP Activity 12,No answer,9
1061,AP,Activity,12,easy_teach_ap,8,1061 AP Activity 12,No answer,9
1061,AP,Activity,12,easy_learn_ap,8,1061 AP Activity 12,No answer,9
